Date,Open,High,Low,Close,Volume
2020-01-02,154.36311971355858,156.2588724196723,153.92564060204407,156.1519317626953,22622100.0
2020-01-03,153.9159376892331,155.50058504774108,153.66316074991315,154.20758056640625,21116200.0
2020-01-06,152.710417882685,154.67423054487284,152.15626677711487,154.60617065429688,20813700.0
2020-01-07,154.8880899560038,155.22834485777184,152.94372537107375,153.1964874267578,21634100.0
2020-01-08,154.5089530057489,156.32694431398141,153.55621833771767,155.63668823242188,27746500.0
2020-01-09,157.33800906740044,157.7074431569365,156.55054363177032,157.5810546875,21385000.0
2020-01-10,158.29075416372004,158.6796212113017,156.69636069938497,156.85191345214844,20725900.0
2020-01-13,157.26023923014645,158.76712510430855,156.77414796972823,158.7379608154297,21626500.0
2020-01-14,158.8448785409841,159.04904336797253,157.22133574582702,157.61993408203125,23477400.0
2020-01-15,158.09631198988214,159.37959999888886,158.04771473277867,158.64073181152344,21417900.0
2020-01-16,159.7781972378281,161.61562153989,159.46709172235663,161.5475616455078,23865400.0
2020-01-17,162.76278133889406,162.811393427465,160.8281329546538,162.45169067382812,34371700.0
2020-01-21,162.0433481305267,163.51135298344042,161.80030254129736,161.8683624267578,29517200.0
2020-01-22,162.74332907404852,162.83083676480734,161.07117414648175,161.0906219482422,24138800.0
2020-01-23,161.56700461728113,162.16003650837797,160.67259853853832,162.08226013183594,19680800.0
2020-01-24,162.85026629180155,162.86971409315112,159.8753905613333,160.448974609375,24918100.0
2020-01-27,156.66722174981894,158.83519965197152,155.7436512367011,157.7657928466797,32078100.0
2020-01-28,159.22404082997764,161.1489579316666,158.53379959615867,160.85731506347656,24899900.0
2020-01-29,163.17107553784444,164.05576500119997,161.08088950267017,163.36550903320312,34754500.0
2020-01-30,169.20833905410456,169.20833905410456,166.03901513529067,167.97366333007812,51597500.0
2020-01-31,167.4195455714714,167.60424777539745,164.8627009912211,165.49461364746094,36142700.0
2020-02-03,165.68904238597088,169.64583194786775,165.6598781001758,169.5291748046875,30107000.0
2020-02-04,172.21241254707755,175.6150513976566,171.40549926810655,175.10951232910156,36433300.0
2020-02-05,178.91074844815392,179.07601769687733,173.4470874181018,174.8956298828125,39186300.0
2020-02-06,175.9358870748057,178.70661343060166,175.05119734471458,178.5218963623047,27751400.0
2020-02-07,177.7635341335303,180.46619965936543,177.40381660602617,178.77459716796875,33529100.0
2020-02-10,178.47326649067983,183.58694113930508,178.15244448311478,183.45083618164062,35844300.0
2020-02-11,185.3465864065952,185.39519849812382,178.3954875135057,179.30934143066406,53159900.0
2020-02-12,180.41763241764525,180.68012584958518,176.79139580027973,179.57183837890625,47062900.0
2020-02-13,177.9871298046851,181.04949798761152,177.7829650031388,178.599609375,35295800.0
2020-02-14,178.15242650960747,180.25234407399722,177.5691111302793,180.1940155029297,23149500.0
2020-02-18,180.44679758497193,182.47865548538965,180.33985691472216,182.021728515625,27792200.0
2020-02-19,183.32798394545148,183.444959714902,181.77799550085777,182.56761169433594,29997500.0
2020-02-20,182.245925256596,182.53837957400657,176.5431330038902,179.7795867919922,36862400.0
2020-02-21,178.56102631600314,178.88272455386047,172.78998870393335,174.0962677001953,48572600.0
2020-02-24,163.5485377559452,170.15793668365993,159.1227659253883,166.59002685546875,68311100.0
2020-02-25,169.81678091148842,170.4406766522427,163.43158887534608,163.84103393554688,68073300.0
2020-02-26,165.43975121823226,168.90041396092323,163.97749432700635,165.88816833496094,56206100.0
2020-02-27,159.2105094471682,162.8271491919549,154.0048645253345,154.1998291015625,93174900.0
2020-02-28,148.57505177958183,159.59072331152694,148.17536466020633,157.93348693847656,97012700.0
2020-03-02,161.15044706948873,168.568963908572,158.22593343844167,168.44223022460938,71030800.0
2020-03-03,169.42682722396927,170.5966297098678,158.177189712045,160.37057495117188,71677000.0
2020-03-04,164.2504271989447,166.40481041912523,161.45263258234542,166.2585906982422,49814400.0
2020-03-05,161.87183818041865,166.57054917895408,161.52089593728292,162.0863037109375,47817300.0
2020-03-06,158.51838722154457,159.005806158346,152.07470828203628,157.5045623779297,72821100.0
2020-03-09,147.20052128288108,153.78067703559265,146.22568339359046,146.830078125,70419300.0
2020-03-10,154.1803784343794,156.97815867607778,148.7407807228459,156.8709259033203,65354400.0
2020-03-11,153.17629133416366,153.73194122889595,147.34674970265638,149.7643585205078,56371600.0
2020-03-12,141.64392095497084,149.60834318854867,135.09301041312096,135.56092834472656,93226400.0
2020-03-13,143.78858156861656,157.83599842945236,137.18892521912076,154.83349609375,92727400.0
2020-03-16,136.47730195940568,145.59204200448985,131.60311260371262,132.01254272460938,87905900.0
2020-03-17,136.47726766394476,143.78854986022753,131.6030795330896,142.8819580078125,81059800.0
2020-03-18,134.52761330140436,142.32631552177563,131.62260088927238,136.86721801757812,81593200.0
2020-03-19,139.17761326112364,146.3719069574611,135.50247015736622,139.11912536621094,85922700.0
2020-03-20,142.3263232152439,143.39865077844738,132.44146821158992,133.89398193359375,84866200.0
2020-03-23,133.5625229158406,137.03295801230104,129.1855106713748,132.55844116210938,78975200.0
2020-03-24,140.13293515683102,145.83574229402072,137.7153415535166,144.60743713378906,82516700.0
2020-03-25,145.1631231895445,150.4467431112188,140.80559634849553,143.2231903076172,75638200.0
2020-03-26,144.6659390153992,152.71810962299392,144.63669506826452,152.18194580078125,64568100.0
2020-03-27,147.93166363410546,150.99265429981068,145.44582380729437,145.93324279785156,57042300.0
